                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 2.0818,                 2.4864,                 2.1138,                0.15629,                0.14355,                0.12319,                0.04665,                 2.3332,                 2.6295,                 2.2432,             0.00096537,             0.00096537,             0.00096537
                     72,                 2.1223,                 2.3788,                 2.0915,                 0.1683,                0.18191,                0.12892,                0.04804,                 2.3519,                 2.5962,                 2.2542,             0.00096125,             0.00096125,             0.00096125
                     73,                 2.0717,                 2.4861,                 2.0793,                0.12143,                0.15583,                0.08986,                0.03166,                 2.3535,                 2.7938,                 2.3003,             0.00095712,             0.00095712,             0.00095712
                     74,                 2.0602,                 2.3947,                 2.0539,                0.15275,                0.16664,                0.11268,                  0.051,                  2.306,                 2.8146,                 2.2341,               0.000953,               0.000953,               0.000953
                     75,                 2.1162,                 2.4239,                 2.0952,                0.46183,                0.11755,                0.08527,                0.03275,                 2.3535,                 2.7663,                 2.3363,             0.00094887,             0.00094887,             0.00094887
                     76,                 2.0769,                 2.3412,                 2.0712,                0.10784,                0.09722,                0.09095,                0.03468,                 2.4513,                 2.7555,                 2.3902,             0.00094475,             0.00094475,             0.00094475
                     77,                  2.005,                 2.3188,                 2.0391,                0.53714,                0.12803,                0.12241,                0.05098,                 2.3096,                 2.6085,                 2.2935,             0.00094062,             0.00094062,             0.00094062
                     78,                 2.0253,                 2.3197,                 2.0177,                0.17518,                0.11636,                 0.1107,                0.04417,                  2.306,                 2.7105,                  2.312,              0.0009365,              0.0009365,              0.0009365
                     79,                 2.0382,                 2.3327,                  2.028,                 0.5026,                0.13992,                0.11797,                0.05176,                 2.2706,                 2.6855,                 2.2628,             0.00093238,             0.00093238,             0.00093238
                     80,                 2.0799,                 2.3775,                 1.9982,                0.22511,                0.18727,                0.13155,                0.05211,                 2.3729,                 2.6022,                 2.2905,             0.00092825,             0.00092825,             0.00092825
                     81,                 2.0388,                 2.2929,                 2.0017,                0.21898,                0.18293,                 0.1457,                0.05694,                 2.3131,                 2.5484,                 2.2624,             0.00092413,             0.00092413,             0.00092413
                     82,                 2.1012,                 2.4126,                 2.0522,                0.45892,                0.10764,                0.11074,                0.04385,                 2.3514,                 2.7056,                 2.3064,                0.00092,                0.00092,                0.00092
                     83,                 2.0244,                 2.3199,                 2.0112,                0.13475,                0.17844,                 0.1095,                0.04448,                 2.2632,                 2.4962,                 2.2442,             0.00091588,             0.00091588,             0.00091588
                     84,                 1.9856,                 2.2753,                 1.9726,                 0.1459,                0.12271,                0.10569,                0.04022,                 2.4137,                 2.8341,                 2.3599,             0.00091175,             0.00091175,             0.00091175
                     85,                 1.9922,                 2.2639,                 2.0239,                 0.1402,                0.18242,                0.11551,                0.05039,                  2.325,                 2.6721,                 2.2728,             0.00090763,             0.00090763,             0.00090763
                     86,                  2.003,                 2.3061,                 2.0344,                0.15264,                0.17437,                0.11904,                0.04794,                 2.3204,                 2.6503,                 2.3105,              0.0009035,              0.0009035,              0.0009035
                     87,                 1.9686,                 2.2602,                 1.9884,                0.15398,                0.10595,                0.11299,                0.05268,                 2.2216,                 2.6669,                 2.2397,             0.00089938,             0.00089938,             0.00089938
                     88,                 2.0386,                 2.2489,                 2.0244,                0.18517,                0.17962,                0.13052,                0.05285,                 2.2789,                 2.5319,                 2.2246,             0.00089525,             0.00089525,             0.00089525
                     89,                  1.992,                 2.2843,                 1.9753,                0.19735,                0.20623,                0.12098,                 0.0538,                 2.2747,                 2.7203,                 2.2416,             0.00089112,             0.00089112,             0.00089112
                     90,                 1.9866,                  2.189,                 1.9782,                0.15796,                0.26255,                0.14017,                0.06293,                 2.2949,                 2.8704,                 2.2464,               0.000887,               0.000887,               0.000887
                     91,                 1.9728,                 2.2214,                 1.9903,                0.21179,                0.18864,                0.15325,                0.06526,                  2.355,                 2.5493,                 2.2741,             0.00088288,             0.00088288,             0.00088288
                     92,                 1.9857,                 2.2474,                 1.9699,                0.23205,                0.15473,                0.13489,                 0.0596,                 2.2299,                 2.7738,                  2.219,             0.00087875,             0.00087875,             0.00087875
                     93,                 1.9589,                 2.2097,                 1.9421,                0.23917,                0.16387,                0.16112,                0.07408,                 2.2075,                 2.4171,                 2.1856,             0.00087462,             0.00087462,             0.00087462
                     94,                 1.9405,                  2.126,                 1.9623,                0.21349,                0.17785,                 0.1591,                0.06909,                 2.2246,                 2.4525,                 2.2107,              0.0008705,              0.0008705,              0.0008705
                     95,                 1.9508,                 2.1753,                  1.964,                0.16174,                0.16108,                0.12596,                0.05486,                 2.2948,                  2.634,                 2.2944,             0.00086637,             0.00086637,             0.00086637
                     96,                 1.9983,                 2.1644,                 1.9808,                0.23331,                0.18886,                0.15462,                0.07094,                  2.199,                 2.4362,                  2.206,             0.00086225,             0.00086225,             0.00086225
                     97,                 1.9492,                 2.1438,                  1.946,                0.18929,                 0.1477,                0.13879,                0.06822,                 2.2726,                  2.534,                 2.3017,             0.00085813,             0.00085813,             0.00085813
                     98,                 1.9819,                 2.1474,                 1.9657,                0.18621,                0.21028,                0.15176,                0.05614,                 2.2721,                  2.473,                 2.2852,               0.000854,               0.000854,               0.000854
                     99,                 1.9791,                 2.1228,                 1.9553,                0.41449,                0.25082,                0.20551,                0.07776,                 2.2512,                 2.4629,                 2.2446,             0.00084988,             0.00084988,             0.00084988
                    100,                 1.9404,                 2.1186,                 1.9499,                0.29027,                0.16684,                 0.1779,                0.07977,                 2.2376,                  2.533,                 2.2031,             0.00084575,             0.00084575,             0.00084575
                    101,                 1.9465,                 2.1405,                 1.9684,                0.22225,                0.12737,                0.14623,                0.06425,                 2.2996,                 2.6388,                 2.2323,             0.00084162,             0.00084162,             0.00084162
